txn_id,customer_id,amount,currency,status,created_at
1,CS-001,40.99,USD,pending,2026-09-21T06:10:00
2,CS-002,155.01,USD,pending,2026-09-21T18:37:00
3,CS-003,208.81,USD,declined,2026-09-21T06:20:00
4,CS-004,324.07,USD,declined,2026-09-21T04:53:00
5,CS-005,198.54,USD,approved,2026-09-21T17:12:00
6,CS-006,130.1,USD,pending,2026-09-21T18:15:00
7,CS-007,91.59,USD,approved,2026-09-21T00:51:00
8,CS-008,183.03,USD,approved,2026-09-21T06:35:00
9,CS-009,476.01,USD,pending,2026-09-21T20:20:00
10,CS-010,338.83,USD,declined,2026-09-21T20:23:00
11,CS-011,369.04,USD,pending,2026-09-21T12:04:00
12,CS-012,197.12,USD,declined,2026-09-21T18:07:00
13,CS-013,278.7,USD,declined,2026-09-21T10:00:00
14,CS-014,205.7,USD,declined,2026-09-21T14:44:00
15,CS-015,351.6,USD,declined,2026-09-21T14:36:00
16,CS-016,457.74,USD,approved,2026-09-21T23:44:00
17,CS-017,494.45,USD,approved,2026-09-21T00:05:00
18,CS-018,199.28,USD,pending,2026-09-21T09:14:00
19,CS-019,313.23,USD,declined,2026-09-21T16:24:00
20,CS-020,451.54,USD,pending,2026-09-21T16:35:00
21,CS-021,101.54,USD,declined,2026-09-21T16:35:00
22,CS-022,394.08,USD,approved,2026-09-21T13:34:00
23,CS-023,94.2,USD,declined,2026-09-21T19:03:00
24,CS-024,85.87,USD,declined,2026-09-21T04:20:00
25,CS-025,322.96,USD,approved,2026-09-21T02:22:00
26,CS-026,263.72,USD,pending,2026-09-21T23:39:00
27,CS-027,96.95,USD,declined,2026-09-21T10:02:00
28,CS-028,259.51,USD,approved,2026-09-21T03:56:00
29,CS-029,397.4,USD,declined,2026-09-21T21:29:00
30,CS-030,258.73,USD,approved,2026-09-21T15:23:00
31,CS-031,119.38,USD,approved,2026-09-21T00:08:00
32,CS-032,331.42,USD,pending,2026-09-21T07:59:00
33,CS-033,415.16,USD,approved,2026-09-21T15:33:00
34,CS-034,18.37,USD,pending,2026-09-21T18:56:00
35,CS-035,174.42,USD,declined,2026-09-21T06:45:00
36,CS-036,157.84,USD,pending,2026-09-21T20:34:00
37,CS-037,407.64,USD,declined,2026-09-21T07:12:00
38,CS-038,91.1,USD,approved,2026-09-21T23:11:00
39,CS-039,161.21,USD,pending,2026-09-21T20:34:00
40,CS-040,167.41,USD,approved,2026-09-21T14:44:00
41,CS-041,185.42,USD,declined,2026-09-21T16:52:00
42,CS-042,454.79,USD,approved,2026-09-21T07:37:00
43,CS-043,416.55,USD,declined,2026-09-21T03:56:00
44,CS-044,406.09,USD,approved,2026-09-21T06:27:00
45,CS-045,116.91,USD,pending,2026-09-21T14:08:00
46,CS-046,275.41,USD,pending,2026-09-21T00:20:00
47,CS-047,126.81,USD,approved,2026-09-21T02:03:00
48,CS-048,137.34,USD,approved,2026-09-21T22:12:00
49,CS-049,283.02,USD,approved,2026-09-21T22:11:00
50,CS-050,135.06,USD,approved,2026-09-21T18:25:00
51,CS-051,69.48,USD,approved,2026-09-21T20:19:00
52,CS-052,155.17,USD,pending,2026-09-21T18:18:00
53,CS-053,186.69,USD,approved,2026-09-21T19:06:00
54,CS-054,316.84,USD,approved,2026-09-21T13:04:00
55,CS-055,30.95,USD,declined,2026-09-21T19:53:00
56,CS-056,453.02,USD,declined,2026-09-21T23:32:00
57,CS-057,257.23,USD,declined,2026-09-21T21:12:00
58,CS-058,363.17,USD,declined,2026-09-21T05:11:00
59,CS-059,49.92,USD,approved,2026-09-21T09:06:00
60,CS-060,260.85,USD,approved,2026-09-21T08:41:00
61,CS-061,493.28,USD,declined,2026-09-21T11:20:00
62,CS-062,225.28,USD,approved,2026-09-21T14:49:00
63,CS-063,336.7,USD,approved,2026-09-21T08:29:00
64,CS-064,478.92,USD,approved,2026-09-21T23:02:00
65,CS-065,316.31,USD,pending,2026-09-21T15:13:00
66,CS-066,181.82,USD,declined,2026-09-21T04:53:00
67,CS-067,151.36,USD,approved,2026-09-21T03:05:00
68,CS-068,86.35,USD,pending,2026-09-21T12:00:00
69,CS-069,24.02,USD,pending,2026-09-21T03:42:00
70,CS-070,211.32,USD,declined,2026-09-21T16:01:00
71,CS-071,13.03,USD,pending,2026-09-21T12:58:00
72,CS-072,219.53,USD,declined,2026-09-21T21:15:00
73,CS-073,222.43,USD,approved,2026-09-21T03:21:00
74,CS-074,399.27,USD,approved,2026-09-21T05:03:00
75,CS-075,405.3,USD,declined,2026-09-21T06:30:00
76,CS-076,243.38,USD,approved,2026-09-21T16:08:00
77,CS-077,362.93,USD,declined,2026-09-21T05:35:00
78,CS-078,104.27,USD,pending,2026-09-21T03:19:00
79,CS-079,492.98,USD,approved,2026-09-21T07:40:00
80,CS-080,116.35,USD,pending,2026-09-21T11:18:00
81,CS-081,227.91,USD,declined,2026-09-21T17:45:00
82,CS-082,372.72,USD,pending,2026-09-21T09:23:00
83,CS-083,48.54,USD,approved,2026-09-21T02:46:00
84,CS-084,89.35,USD,declined,2026-09-21T13:50:00
85,CS-085,86.15,USD,pending,2026-09-21T07:36:00
86,CS-086,8.2,USD,pending,2026-09-21T03:00:00
87,CS-087,94.33,USD,declined,2026-09-21T09:00:00
88,CS-088,483.63,USD,pending,2026-09-21T00:46:00
89,CS-089,478.78,USD,approved,2026-09-21T04:30:00
90,CS-090,193.86,USD,pending,2026-09-21T11:34:00
91,CS-091,434.9,USD,approved,2026-09-21T13:06:00
92,CS-092,80.45,USD,approved,2026-09-21T11:48:00
93,CS-093,396.74,USD,declined,2026-09-21T01:13:00
94,CS-094,104.44,USD,approved,2026-09-21T10:26:00
95,CS-095,162.68,USD,pending,2026-09-21T19:16:00
96,CS-096,251.78,USD,pending,2026-09-21T03:11:00
97,CS-097,3.18,USD,declined,2026-09-21T09:32:00
98,CS-098,99.47,USD,approved,2026-09-21T03:31:00
99,CS-099,85.25,USD,declined,2026-09-21T02:33:00
100,CS-100,334.02,USD,declined,2026-09-21T20:25:00
