txn_id,customer_id,amount,currency,status,created_at
1,CS-001,242.22,USD,declined,2026-09-17T09:55:00
2,CS-002,133.79,USD,declined,2026-09-17T20:40:00
3,CS-003,499.57,USD,approved,2026-09-17T08:28:00
4,CS-004,260.23,USD,approved,2026-09-17T12:17:00
5,CS-005,166.42,USD,approved,2026-09-17T06:27:00
6,CS-006,218.85,USD,declined,2026-09-17T09:22:00
7,CS-007,396.53,USD,pending,2026-09-17T01:36:00
8,CS-008,61.97,USD,approved,2026-09-17T22:39:00
9,CS-009,324.0,USD,pending,2026-09-17T13:26:00
10,CS-010,182.03,USD,pending,2026-09-17T11:01:00
11,CS-011,475.46,USD,approved,2026-09-17T19:37:00
12,CS-012,227.73,USD,declined,2026-09-17T22:30:00
13,CS-013,161.05,USD,declined,2026-09-17T17:01:00
14,CS-014,322.68,USD,pending,2026-09-17T00:19:00
15,CS-015,427.2,USD,declined,2026-09-17T18:10:00
16,CS-016,165.65,USD,approved,2026-09-17T17:52:00
17,CS-017,324.82,USD,approved,2026-09-17T08:32:00
18,CS-018,172.04,USD,approved,2026-09-17T14:27:00
19,CS-019,289.96,USD,pending,2026-09-17T05:07:00
20,CS-020,445.17,USD,declined,2026-09-17T21:54:00
21,CS-021,139.58,USD,pending,2026-09-17T09:59:00
22,CS-022,236.23,USD,approved,2026-09-17T22:20:00
23,CS-023,75.46,USD,declined,2026-09-17T16:34:00
24,CS-024,432.49,USD,approved,2026-09-17T15:31:00
25,CS-025,181.81,USD,pending,2026-09-17T20:47:00
26,CS-026,114.29,USD,pending,2026-09-17T07:10:00
27,CS-027,472.09,USD,pending,2026-09-17T15:59:00
28,CS-028,73.9,USD,pending,2026-09-17T06:50:00
29,CS-029,139.67,USD,declined,2026-09-17T19:16:00
30,CS-030,280.36,USD,pending,2026-09-17T03:43:00
31,CS-031,358.67,USD,approved,2026-09-17T12:48:00
32,CS-032,8.12,USD,declined,2026-09-17T07:28:00
33,CS-033,301.33,USD,declined,2026-09-17T14:00:00
34,CS-034,432.39,USD,declined,2026-09-17T08:30:00
35,CS-035,331.62,USD,declined,2026-09-17T23:09:00
36,CS-036,473.1,USD,declined,2026-09-17T18:49:00
37,CS-037,370.65,USD,approved,2026-09-17T05:15:00
38,CS-038,190.32,USD,approved,2026-09-17T23:19:00
39,CS-039,153.27,USD,approved,2026-09-17T11:09:00
40,CS-040,335.65,USD,approved,2026-09-17T06:29:00
41,CS-041,85.41,USD,approved,2026-09-17T20:05:00
42,CS-042,311.75,USD,declined,2026-09-17T21:39:00
43,CS-043,395.75,USD,approved,2026-09-17T00:06:00
44,CS-044,342.62,USD,approved,2026-09-17T11:15:00
45,CS-045,354.13,USD,pending,2026-09-17T12:12:00
46,CS-046,370.14,USD,approved,2026-09-17T02:39:00
47,CS-047,253.77,USD,declined,2026-09-17T00:37:00
48,CS-048,338.32,USD,declined,2026-09-17T01:37:00
49,CS-049,145.15,USD,approved,2026-09-17T09:48:00
50,CS-050,55.1,USD,declined,2026-09-17T03:59:00
51,CS-051,210.22,USD,approved,2026-09-17T09:15:00
52,CS-052,432.27,USD,approved,2026-09-17T19:48:00
53,CS-053,112.29,USD,approved,2026-09-17T08:29:00
54,CS-054,52.72,USD,declined,2026-09-17T15:48:00
55,CS-055,109.75,USD,approved,2026-09-17T04:10:00
56,CS-056,350.92,USD,declined,2026-09-17T19:23:00
57,CS-057,235.24,USD,declined,2026-09-17T00:11:00
58,CS-058,487.52,USD,pending,2026-09-17T03:01:00
59,CS-059,253.65,USD,declined,2026-09-17T16:50:00
60,CS-060,252.15,USD,pending,2026-09-17T17:58:00
61,CS-061,442.4,USD,approved,2026-09-17T09:20:00
62,CS-062,426.18,USD,declined,2026-09-17T01:33:00
63,CS-063,76.77,USD,pending,2026-09-17T10:29:00
64,CS-064,366.63,USD,approved,2026-09-17T00:55:00
65,CS-065,133.07,USD,approved,2026-09-17T06:46:00
66,CS-066,29.9,USD,approved,2026-09-17T07:21:00
67,CS-067,162.6,USD,declined,2026-09-17T06:07:00
68,CS-068,198.43,USD,approved,2026-09-17T19:45:00
69,CS-069,355.74,USD,pending,2026-09-17T13:33:00
70,CS-070,177.1,USD,pending,2026-09-17T23:33:00
71,CS-071,445.78,USD,declined,2026-09-17T17:47:00
72,CS-072,87.38,USD,declined,2026-09-17T16:31:00
73,CS-073,498.63,USD,approved,2026-09-17T17:31:00
74,CS-074,389.71,USD,pending,2026-09-17T00:45:00
75,CS-075,100.38,USD,approved,2026-09-17T18:57:00
76,CS-076,321.56,USD,declined,2026-09-17T05:29:00
77,CS-077,400.02,USD,declined,2026-09-17T16:16:00
78,CS-078,412.27,USD,approved,2026-09-17T20:21:00
79,CS-079,374.8,USD,pending,2026-09-17T12:42:00
80,CS-080,115.7,USD,pending,2026-09-17T20:00:00
81,CS-081,445.2,USD,declined,2026-09-17T22:47:00
82,CS-082,383.52,USD,pending,2026-09-17T21:55:00
83,CS-083,464.95,USD,declined,2026-09-17T18:45:00
84,CS-084,86.53,USD,approved,2026-09-17T19:23:00
85,CS-085,354.56,USD,approved,2026-09-17T18:16:00
86,CS-086,175.36,USD,approved,2026-09-17T20:16:00
87,CS-087,384.98,USD,declined,2026-09-17T15:29:00
88,CS-088,258.15,USD,pending,2026-09-17T09:39:00
89,CS-089,73.06,USD,approved,2026-09-17T20:38:00
90,CS-090,15.39,USD,pending,2026-09-17T23:46:00
91,CS-091,29.28,USD,approved,2026-09-17T14:39:00
92,CS-092,333.2,USD,pending,2026-09-17T18:54:00
93,CS-093,25.95,USD,approved,2026-09-17T13:59:00
94,CS-094,442.86,USD,approved,2026-09-17T20:41:00
95,CS-095,227.49,USD,pending,2026-09-17T10:01:00
96,CS-096,279.56,USD,pending,2026-09-17T00:03:00
97,CS-097,158.6,USD,pending,2026-09-17T05:09:00
98,CS-098,249.69,USD,pending,2026-09-17T14:13:00
99,CS-099,418.8,USD,approved,2026-09-17T08:34:00
100,CS-100,264.36,USD,declined,2026-09-17T03:36:00
