txn_id,customer_id,amount,currency,status,created_at
1,CS-001,423.22,USD,declined,2026-09-13T09:40:00
2,CS-002,368.06,USD,approved,2026-09-13T22:39:00
3,CS-003,266.59,USD,approved,2026-09-13T20:42:00
4,CS-004,322.4,USD,approved,2026-09-13T12:54:00
5,CS-005,202.6,USD,approved,2026-09-13T01:09:00
6,CS-006,328.58,USD,approved,2026-09-13T18:09:00
7,CS-007,106.26,USD,declined,2026-09-13T00:45:00
8,CS-008,242.59,USD,declined,2026-09-13T11:08:00
9,CS-009,276.54,USD,pending,2026-09-13T04:37:00
10,CS-010,341.39,USD,pending,2026-09-13T18:51:00
11,CS-011,234.3,USD,approved,2026-09-13T11:48:00
12,CS-012,452.78,USD,approved,2026-09-13T23:46:00
13,CS-013,478.62,USD,declined,2026-09-13T10:55:00
14,CS-014,266.32,USD,declined,2026-09-13T07:43:00
15,CS-015,297.41,USD,declined,2026-09-13T14:34:00
16,CS-016,364.35,USD,pending,2026-09-13T23:18:00
17,CS-017,468.54,USD,pending,2026-09-13T12:12:00
18,CS-018,444.9,USD,approved,2026-09-13T15:31:00
19,CS-019,349.65,USD,pending,2026-09-13T00:32:00
20,CS-020,142.63,USD,pending,2026-09-13T18:34:00
21,CS-021,377.67,USD,declined,2026-09-13T03:51:00
22,CS-022,445.62,USD,pending,2026-09-13T15:23:00
23,CS-023,230.77,USD,declined,2026-09-13T03:30:00
24,CS-024,93.74,USD,approved,2026-09-13T11:41:00
25,CS-025,249.79,USD,declined,2026-09-13T11:32:00
26,CS-026,9.61,USD,declined,2026-09-13T03:28:00
27,CS-027,64.02,USD,pending,2026-09-13T04:54:00
28,CS-028,257.76,USD,pending,2026-09-13T05:57:00
29,CS-029,144.58,USD,approved,2026-09-13T18:56:00
30,CS-030,258.88,USD,approved,2026-09-13T03:15:00
31,CS-031,14.45,USD,declined,2026-09-13T22:22:00
32,CS-032,190.38,USD,approved,2026-09-13T18:36:00
33,CS-033,94.71,USD,pending,2026-09-13T03:47:00
34,CS-034,401.78,USD,pending,2026-09-13T10:25:00
35,CS-035,182.2,USD,declined,2026-09-13T11:47:00
36,CS-036,62.89,USD,declined,2026-09-13T18:46:00
37,CS-037,120.78,USD,pending,2026-09-13T03:28:00
38,CS-038,191.2,USD,approved,2026-09-13T07:59:00
39,CS-039,238.2,USD,declined,2026-09-13T08:18:00
40,CS-040,301.98,USD,declined,2026-09-13T16:08:00
41,CS-041,109.34,USD,approved,2026-09-13T19:21:00
42,CS-042,23.02,USD,approved,2026-09-13T18:56:00
43,CS-043,193.62,USD,declined,2026-09-13T00:36:00
44,CS-044,417.95,USD,declined,2026-09-13T20:23:00
45,CS-045,211.73,USD,approved,2026-09-13T21:50:00
46,CS-046,422.95,USD,declined,2026-09-13T10:36:00
47,CS-047,177.92,USD,declined,2026-09-13T04:17:00
48,CS-048,183.21,USD,approved,2026-09-13T00:44:00
49,CS-049,344.94,USD,declined,2026-09-13T15:53:00
50,CS-050,397.62,USD,approved,2026-09-13T22:56:00
51,CS-051,476.12,USD,pending,2026-09-13T07:40:00
